run,seed,accuracy,precision,recall,f1_score
1,42,0.7266666666666667,0.39215686274509803,0.6666666666666666,0.49382716049382713
2,53,0.7633333333333333,0.43209876543209874,0.5833333333333334,0.49645390070921985
3,64,0.7933333333333333,0.4880952380952381,0.6833333333333333,0.5694444444444444
4,75,0.6833333333333333,0.3504273504273504,0.6833333333333333,0.4632768361581921
5,86,0.7466666666666667,0.4069767441860465,0.5833333333333334,0.4794520547945205
6,97,0.7266666666666667,0.3829787234042553,0.6,0.4675324675324675
7,108,0.4266666666666667,0.24774774774774774,0.9166666666666666,0.3900709219858156
8,119,0.2,0.2,1.0,0.3333333333333333
9,130,0.7666666666666667,0.44047619047619047,0.6166666666666667,0.5138888888888888
10,141,0.7033333333333334,0.3739130434782609,0.7166666666666667,0.49142857142857144
